List of Companies ,,,,,,Recruiting Agencies/Communities/Talent Matching Agencies,,
,,,,,,,,Note
Sardine AI ,,,,,,Scalr,https://scalr.pro,For FDEs
YC Companies,,,,,,FYSK companies,https://airtable.com/appEmTUEnnJkYoErD/shrFjCSjowwjkUVtG/tbl0sqD8IsV96BxnE/viwtxtXTahskyyQnl?blocks=show,
FluidStack,,,,,,Jack & Jill,,
Flow Engineering,,,,,,Levels FYI,,
Zoox,https://jobs.lever.co/zoox/2ef807a0-f80d-47ba-a1a1-578ebe195592,,,,,,,
Matroid,,,,,,,,
ElevenLabs,,,,,,,,
C3 AI,,,,,,,,
Scale AI,,,,,,,,
Snorkel AI,,,,,,,,
Glean,,,,,,,,
Plank FDE Mannufacturing ,https://joinplank.com/careers/fde-manufacturing,,,,,,,
Sierra,,,,,,,,
Finch ,,,,,,,,
Invert,,,,,,,,
Accenture,,,,,,,,
Gridware,,,,,,,,
Eve ,,,,,,,,
Ivo,,,,,,,,
Sela,,,,,,,,
Sphere,,,,,,,,
Pinterest,https://www.pinterestcareers.com/jobs/7958766/software-engineer-ii/?gh_jid=7958766,,,,,,,
Exa,https://jobs.ashbyhq.com/exa/8932d319-b456-4ee0-9efd-16d82be8de80,,,,,,,
Flow Engineering,https://jobs.ashbyhq.com/flowengineering/ed05415f-c172-4851-9392-1d97e0fd2968/application,,,,,,,
Cursor,https://cursor.com/careers/forward-deployed-engineer-new-york-remote-san-francisco,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Read up,,,,,,,,
https://www.flowengineering.com/pdf/6fa285f737424a86,,,,,,,,
